session_id,src_ip,user,start_time,end_time,n_events,end_type,total_events,failed_logins,downloads,uploads,unique_commands,unique_files,night_events,total_bytes,avg_speed,session_duration,fail_ratio,night_ratio,transfer_ratio,bytes_per_file,garbage_cmd_ratio,abrupt_disconnect,is_auth,label
10,171.144.51.214,deploy_user,2026-04-19T12:05:35,2026-04-19T12:05:47,88,clean,88,0,1,4,15,2,0,3353870.0,713.37,12.0,0.0,0.0,0.056818181818181816,1676935.0,0.0,0,1,
11,170.33.205.126,deploy_user,2026-04-19T21:47:57,2026-04-19T21:48:15,100,clean,100,0,1,6,15,4,0,3360272.0,727.3285714285714,18.0,0.0,0.0,0.07,840068.0,0.0,0,1,
12,7.230.240.75,deploy_user,2026-04-20T07:47:35,2026-04-20T07:47:52,94,clean,94,0,1,5,15,3,0,3353040.0,760.2166666666667,17.0,0.0,0.0,0.06382978723404255,1117680.0,0.0,0,1,
13,189.224.41.154,deploy_user,2026-04-20T20:10:50,2026-04-20T20:11:04,88,clean,88,0,1,4,15,2,0,3348996.0,967.15,14.0,0.0,0.0,0.056818181818181816,1674498.0,0.0,0,1,
14,171.209.170.83,deploy_user,2026-04-21T11:22:13,2026-04-21T11:22:42,112,clean,112,0,1,8,15,6,0,3392282.0,743.9866666666667,29.0,0.0,0.0,0.08035714285714286,565380.3333333334,0.0,0,1,
15,74.149.139.107,deploy_user,2026-04-21T17:49:59,2026-04-21T17:50:44,124,clean,124,0,1,10,15,8,0,3428958.0,687.1572727272727,45.0,0.0,0.0,0.08870967741935484,428619.75,0.0,0,1,
16,149.203.41.219,deploy_user,2026-04-22T04:23:48,2026-04-22T04:24:47,148,clean,148,0,1,14,15,12,148,3547607.0,623.2900000000001,59.0,0.0,1.0,0.10135135135135136,295633.9166666667,0.0,0,1,
17,142.180.112.163,deploy_user,2026-04-23T03:24:17,2026-04-23T03:25:01,148,clean,148,0,1,14,15,12,148,3597794.0,923.642,44.0,0.0,1.0,0.10135135135135136,299816.1666666667,0.0,0,1,
18,216.79.212.168,deploy_user,2026-04-23T04:32:31,2026-04-23T04:32:47,88,clean,88,0,1,4,15,2,88,3352849.0,501.908,16.0,0.0,1.0,0.056818181818181816,1676424.5,0.0,0,1,
19,143.64.105.18,deploy_user,2026-04-23T05:29:24,2026-04-23T05:29:52,118,clean,118,0,1,9,15,7,118,3396008.0,663.502,28.0,0.0,1.0,0.0847457627118644,485144.0,0.0,0,1,
20,6.75.33.33,deploy_user,2026-04-23T07:08:47,2026-04-23T07:09:34,124,clean,124,0,1,10,15,8,0,3485960.0,760.45,47.0,0.0,0.0,0.08870967741935484,435745.0,0.0,0,1,
21,190.108.79.169,deploy_user,2026-04-23T16:38:01,2026-04-23T16:38:34,118,clean,118,0,1,9,15,7,0,3513528.0,613.302,33.0,0.0,0.0,0.0847457627118644,501932.5714285714,0.0,0,1,
22,170.145.249.135,deploy_user,2026-04-23T18:05:05,2026-04-23T18:05:18,88,clean,88,0,1,4,15,2,0,3346548.0,475.73400000000004,13.0,0.0,0.0,0.056818181818181816,1673274.0,0.0,0,1,
23,172.21.223.5,deploy_user,2026-04-23T21:20:53,2026-04-23T21:21:35,124,clean,124,0,1,10,15,8,0,3454732.0,810.3390909090908,42.0,0.0,0.0,0.08870967741935484,431841.5,0.0,0,1,
24,203.77.225.18,deploy_user,2026-04-24T16:48:11,2026-04-24T16:49:08,142,clean,142,0,1,13,15,11,0,3504993.0,762.9557142857142,57.0,0.0,0.0,0.09859154929577464,318635.7272727273,0.0,0,1,
25,214.200.66.153,deploy_user,2026-04-24T20:44:35,2026-04-24T20:45:05,118,clean,118,0,1,9,15,7,0,3381072.0,855.5790000000001,30.0,0.0,0.0,0.0847457627118644,483010.28571428574,0.0,0,1,
26,152.214.82.210,deploy_user,2026-04-25T13:10:29,2026-04-25T13:11:12,148,clean,148,0,1,14,15,12,0,3611943.0,751.0593333333333,43.0,0.0,0.0,0.10135135135135136,300995.25,0.0,0,1,
27,214.43.184.18,deploy_user,2026-04-25T20:32:38,2026-04-25T20:33:28,136,clean,136,0,1,12,15,10,0,3567085.0,707.4338461538462,50.0,0.0,0.0,0.09558823529411764,356708.5,0.0,0,1,
28,170.220.92.140,deploy_user,2026-04-25T20:39:56,2026-04-25T20:40:29,112,clean,112,0,1,8,15,6,0,3471916.0,598.7733333333333,33.0,0.0,0.0,0.08035714285714286,578652.6666666666,0.0,0,1,
29,143.58.13.189,deploy_user,2026-04-26T08:09:13,2026-04-26T08:09:34,94,clean,94,0,1,5,15,3,0,3364186.0,724.8116666666666,21.0,0.0,0.0,0.06382978723404255,1121395.3333333333,0.0,0,1,
30,222.89.185.131,deploy_user,2026-04-27T09:15:03,2026-04-27T09:15:39,130,clean,130,0,1,11,15,9,0,3499862.0,594.4091666666667,36.0,0.0,0.0,0.09230769230769231,388873.55555555556,0.0,0,1,
31,2.23.135.167,deploy_user,2026-04-27T18:12:45,2026-04-27T18:13:03,88,clean,88,0,1,4,15,2,0,3360159.0,542.332,18.0,0.0,0.0,0.056818181818181816,1680079.5,0.0,0,1,
32,203.176.204.34,deploy_user,2026-04-27T19:16:51,2026-04-27T19:17:37,130,clean,130,0,1,11,15,9,0,3594992.0,604.9575,46.0,0.0,0.0,0.09230769230769231,399443.55555555556,0.0,0,1,
33,177.65.49.101,deploy_user,2026-04-28T03:22:54,2026-04-28T03:23:28,106,clean,106,0,1,7,15,5,106,3356474.0,869.64375,34.0,0.0,1.0,0.07547169811320754,671294.8,0.0,0,1,
34,171.116.26.150,deploy_user,2026-04-28T12:38:29,2026-04-28T12:39:14,124,clean,124,0,1,10,15,8,0,3557550.0,751.06,45.0,0.0,0.0,0.08870967741935484,444693.75,0.0,0,1,
35,137.148.21.74,deploy_user,2026-04-29T18:25:23,2026-04-29T18:25:54,112,clean,112,0,1,8,15,6,0,3510541.0,744.9233333333333,31.0,0.0,0.0,0.08035714285714286,585090.1666666666,0.0,0,1,
36,171.95.148.225,deploy_user,2026-04-30T18:17:51,2026-04-30T18:18:25,118,clean,118,0,1,9,15,7,0,3479772.0,633.01,34.0,0.0,0.0,0.0847457627118644,497110.28571428574,0.0,0,1,
37,62.159.60.164,deploy_user,2026-04-30T20:53:23,2026-04-30T20:54:01,130,clean,130,0,1,11,15,9,0,3562556.0,794.285,38.0,0.0,0.0,0.09230769230769231,395839.55555555556,0.0,0,1,
38,154.92.69.197,deploy_user,2026-05-01T00:07:59,2026-05-01T00:08:31,124,clean,124,0,1,10,15,8,124,3531557.0,611.1572727272727,32.0,0.0,1.0,0.08870967741935484,441444.625,0.0,0,1,
39,211.163.164.61,deploy_user,2026-05-01T12:56:58,2026-05-01T12:57:32,112,clean,112,0,1,8,15,6,0,3404265.0,806.3744444444444,34.0,0.0,0.0,0.08035714285714286,567377.5,0.0,0,1,
40,152.20.37.49,deploy_user,2026-05-02T00:38:20,2026-05-02T00:38:49,106,clean,106,0,1,7,15,5,106,3439866.0,610.9575,29.0,0.0,1.0,0.07547169811320754,687973.2,0.0,0,1,
41,36.168.117.98,deploy_user,2026-05-02T03:55:40,2026-05-02T03:56:11,118,clean,118,0,1,9,15,7,118,3503183.0,722.35,31.0,0.0,1.0,0.0847457627118644,500454.71428571426,0.0,0,1,
42,190.129.181.69,deploy_user,2026-05-02T08:35:55,2026-05-02T08:36:43,142,clean,142,0,1,13,15,11,0,3600282.0,768.7721428571429,48.0,0.0,0.0,0.09859154929577464,327298.36363636365,0.0,0,1,
43,98.194.43.198,deploy_user,2026-05-03T02:37:27,2026-05-03T02:37:54,112,clean,112,0,1,8,15,6,112,3359289.0,617.8222222222222,27.0,0.0,1.0,0.08035714285714286,559881.5,0.0,0,1,
44,3.222.141.108,deploy_user,2026-05-03T06:45:41,2026-05-03T06:46:36,148,clean,148,0,1,14,15,12,0,3606337.0,781.6806666666668,55.0,0.0,0.0,0.10135135135135136,300528.0833333333,0.0,0,1,
45,214.204.169.248,deploy_user,2026-05-03T08:47:37,2026-05-03T08:48:21,136,clean,136,0,1,12,15,10,0,3535345.0,684.5476923076924,44.0,0.0,0.0,0.09558823529411764,353534.5,0.0,0,1,
46,9.95.187.84,deploy_user,2026-05-06T05:34:46,2026-05-06T05:35:22,136,clean,136,0,1,12,15,10,136,3533958.0,627.9330769230769,36.0,0.0,1.0,0.09558823529411764,353395.8,0.0,0,1,
47,177.58.137.199,deploy_user,2026-05-06T14:09:16,2026-05-06T14:10:02,130,clean,130,0,1,11,15,9,0,3538282.0,701.3333333333334,46.0,0.0,0.0,0.09230769230769231,393142.44444444444,0.0,0,1,
48,218.47.206.132,deploy_user,2026-05-07T08:44:59,2026-05-07T08:45:33,130,clean,130,0,1,11,15,9,0,3585284.0,531.5016666666667,34.0,0.0,0.0,0.09230769230769231,398364.8888888889,0.0,0,1,
49,6.61.216.178,deploy_user,2026-05-07T13:38:04,2026-05-07T13:38:18,94,clean,94,0,1,5,15,3,0,3374725.0,816.2666666666668,14.0,0.0,0.0,0.06382978723404255,1124908.3333333333,0.0,0,1,
50,107.63.196.90,deploy_user,2026-05-07T17:48:17,2026-05-07T17:48:30,94,clean,94,0,1,5,15,3,0,3381212.0,598.9983333333333,13.0,0.0,0.0,0.06382978723404255,1127070.6666666667,0.0,0,1,
51,179.241.37.5,deploy_user,2026-05-07T20:04:38,2026-05-07T20:04:53,88,clean,88,0,1,4,15,2,0,3357879.0,648.0980000000001,15.0,0.0,0.0,0.056818181818181816,1678939.5,0.0,0,1,
52,206.122.29.63,deploy_user,2026-05-08T10:13:41,2026-05-08T10:13:53,88,clean,88,0,1,4,15,2,0,3350832.0,758.9739999999999,12.0,0.0,0.0,0.056818181818181816,1675416.0,0.0,0,1,
53,6.219.139.135,deploy_user,2026-05-08T17:26:14,2026-05-08T17:26:28,94,clean,94,0,1,5,15,3,0,3442592.0,851.8249999999999,14.0,0.0,0.0,0.06382978723404255,1147530.6666666667,0.0,0,1,
54,120.18.214.58,deploy_user,2026-05-09T15:52:04,2026-05-09T15:52:31,112,clean,112,0,1,8,15,6,0,3422336.0,820.9566666666666,27.0,0.0,0.0,0.08035714285714286,570389.3333333334,0.0,0,1,
55,205.157.53.53,deploy_user,2026-05-10T01:14:52,2026-05-10T01:15:15,100,clean,100,0,1,6,15,4,100,3381575.0,679.2057142857144,23.0,0.0,1.0,0.07,845393.75,0.0,0,1,
56,28.55.79.28,deploy_user,2026-05-10T09:05:54,2026-05-10T09:06:29,136,clean,136,0,1,12,15,10,0,3571009.0,700.0538461538462,35.0,0.0,0.0,0.09558823529411764,357100.9,0.0,0,1,
57,170.181.109.233,deploy_user,2026-05-10T10:06:05,2026-05-10T10:06:22,88,clean,88,0,1,4,15,2,0,3352137.0,650.6899999999999,17.0,0.0,0.0,0.056818181818181816,1676068.5,0.0,0,1,
58,189.176.164.100,deploy_user,2026-05-10T20:21:07,2026-05-10T20:21:15,88,clean,88,0,1,4,15,2,0,3349155.0,678.394,8.0,0.0,0.0,0.056818181818181816,1674577.5,0.0,0,1,
59,64.236.131.208,deploy_user,2026-05-12T23:58:53,2026-05-12T23:59:07,106,clean,106,0,1,7,15,5,0,3398525.0,227.32375,14.0,0.0,0.0,0.07547169811320754,679705.0,0.0,0,1,
60,196.120.94.75,deploy_user,2026-05-13T19:26:53,2026-05-13T19:27:14,40,unknown,40,0,0,0,11,0,0,0,0.0,21.0,0.0,0.0,0.0,0,0.0,0,1,
61,68.220.59.248,deploy_user,2026-05-14T17:50:59,2026-05-14T17:51:16,94,clean,94,0,1,5,15,3,0,3356720.0,277.95666666666665,17.0,0.0,0.0,0.06382978723404255,1118906.6666666667,0.0,0,1,
62,196.120.135.157,deploy_user,2026-05-17T19:54:48,2026-05-17T20:03:23,60,abrupt,60,0,0,0,13,0,0,0,0.0,515.0,0.0,0.0,0.0,0,0.0,1,1,
63,196.120.135.157,deploy_user,2026-05-17T20:04:08,2026-05-17T20:09:09,16,abrupt,16,0,0,0,6,0,0,0,0.0,301.0,0.0,0.0,0.0,0,0.0,1,1,
64,128.203.203.233,,2026-05-19T17:44:46,2026-05-19T17:44:56,6,unknown,6,0,0,0,1,0,0,0,0.0,10.0,0.0,0.0,0.0,0,1.0,0,0,
65,196.120.94.75,deploy_user,2026-05-20T19:24:14,2026-05-20T19:25:00,75,abrupt,75,0,0,1,13,1,0,173511.0,62.69,46.0,0.0,0.0,0.013333333333333334,173511.0,0.0,1,1,
66,5.133.200.163,,2026-05-22T21:02:13,2026-05-22T21:02:13,8,unknown,8,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,
67,4.246.135.193,deploy_user,2026-05-25T16:22:50,2026-05-25T16:22:59,100,clean,100,0,1,6,15,4,0,3395724.0,533.3614285714286,9.0,0.0,0.0,0.07,848931.0,0.0,0,1,
68,196.120.94.75,deploy_user,2026-05-27T17:21:10,2026-05-27T17:22:22,91,abrupt,91,0,0,1,12,1,0,233027.0,58.48,72.0,0.0,0.0,0.01098901098901099,233027.0,0.0,1,1,
69,196.120.94.75,deploy_user,2026-05-28T17:24:13,2026-05-28T17:25:01,55,abrupt,55,0,1,0,11,1,0,379.0,0.25,48.0,0.0,0.0,0.01818181818181818,379.0,0.0,1,1,
70,196.120.94.75,deploy_user,2026-05-28T17:26:00,2026-05-28T17:26:50,133,abrupt,133,0,0,4,11,2,0,122516.0,24.125,50.0,0.0,0.0,0.03007518796992481,61258.0,0.0,1,1,
71,196.120.94.75,deploy_user,2026-05-29T02:27:27,2026-05-29T02:28:13,58,abrupt,58,0,0,3,10,3,58,2227301.0,34.21,46.0,0.0,1.0,0.05172413793103448,742433.6666666666,0.0,1,1,
72,196.120.94.75,deploy_user,2026-05-29T22:01:00,2026-05-29T22:01:50,67,abrupt,67,0,0,2,11,2,0,61258.0,24.125,50.0,0.0,0.0,0.029850746268656716,30629.0,0.0,1,1,
73,52.242.243.103,deploy_user,2026-06-03T17:39:31,2026-06-03T17:39:42,94,clean,94,0,1,5,15,3,0,3362195.0,430.9266666666667,11.0,0.0,0.0,0.06382978723404255,1120731.6666666667,0.0,0,1,
74,196.70.66.143,deploy_user,2026-06-07T15:53:43,2026-06-07T15:55:51,141,abrupt,141,0,1,1,16,1,0,0,0.0,128.0,0.0,0.0,0.014184397163120567,0.0,0.0,1,1,
75,196.70.66.143,deploy_user,2026-06-07T16:03:43,2026-06-07T16:03:50,16,abrupt,16,0,0,0,6,0,0,0,0.0,7.0,0.0,0.0,0.0,0,0.0,1,1,
76,196.70.66.143,deploy_user,2026-06-07T16:04:04,2026-06-07T16:09:04,16,abrupt,16,0,0,0,6,0,0,0,0.0,300.0,0.0,0.0,0.0,0,0.0,1,1,
77,66.132.195.89,,2026-06-08T05:06:03,2026-06-08T05:06:03,20,unknown,20,0,0,0,7,0,20,0,0.0,0.0,0.0,1.0,0.0,0,1.0,0,0,
78,196.70.66.143,deploy_user,2026-06-08T11:39:14,2026-06-08T11:40:39,77,abrupt,77,0,0,0,11,1,0,0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1,1,
79,64.236.201.53,deploy_user,2026-06-11T17:57:11,2026-06-11T17:57:26,148,clean,148,0,1,14,15,6,0,3501493.0,229.26133333333334,15.0,0.0,0.0,0.10135135135135136,583582.1666666666,0.0,0,1,
80,52.159.228.215,deploy_user,2026-06-12T18:06:35,2026-06-12T18:06:42,76,clean,76,0,1,2,15,2,0,334186.0,110.94999999999999,7.0,0.0,0.0,0.039473684210526314,167093.0,0.0,0,1,
81,40.65.59.113,deploy_user,2026-06-13T18:18:27,2026-06-13T18:18:51,148,clean,148,0,1,14,15,6,0,3503484.0,119.11466666666666,24.0,0.0,0.0,0.10135135135135136,583914.0,0.0,0,1,
82,196.120.94.75,deploy_user,2026-06-13T19:05:16,2026-06-13T19:05:21,23,abrupt,23,0,0,0,9,0,0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,1,1,
83,196.120.94.75,deploy_user,2026-06-15T18:21:40,2026-06-15T18:22:25,54,abrupt,54,0,0,0,11,0,0,0,0.0,45.0,0.0,0.0,0.0,0,0.0,1,1,
84,196.120.94.75,deploy_user,2026-06-16T14:24:15,2026-06-16T14:25:07,64,abrupt,64,0,0,2,11,2,0,580024.0,45.265,52.0,0.0,0.0,0.03125,290012.0,0.0,1,1,
85,196.120.94.75,deploy_user,2026-06-17T01:38:34,2026-06-17T01:39:22,91,abrupt,91,0,0,1,12,1,91,233027.0,60.19,48.0,0.0,1.0,0.01098901098901099,233027.0,0.0,1,1,
86,172.214.44.152,deploy_user,2026-06-19T02:54:56,2026-06-19T02:55:04,94,clean,94,0,1,5,15,3,94,3357965.0,564.215,8.0,0.0,1.0,0.06382978723404255,1119321.6666666667,0.0,0,1,
87,135.232.211.211,deploy_user,2026-06-20T19:09:02,2026-06-20T19:09:06,70,clean,70,0,1,1,15,1,0,324766.0,230.995,4.0,0.0,0.0,0.02857142857142857,324766.0,0.0,0,1,
88,196.120.94.75,deploy_user,2026-06-20T22:13:03,2026-06-20T22:13:53,119,abrupt,119,0,0,3,12,3,0,520829.0,21.150000000000002,50.0,0.0,0.0,0.025210084033613446,173609.66666666666,0.0,1,1,
89,145.132.102.50,deploy_user,2026-06-21T03:41:05,2026-06-21T03:41:15,88,clean,88,0,1,4,15,2,88,3352751.0,385.788,10.0,0.0,1.0,0.056818181818181816,1676375.5,0.0,0,1,
90,35.216.201.9,anonymous,2026-06-21T08:49:27,2026-06-21T08:49:35,33,unknown,33,1,0,0,10,0,0,0,0.0,8.0,0.030303030303030304,0.0,0.0,0,0.7692307692307693,0,0,
91,172.208.154.7,deploy_user,2026-06-21T17:45:09,2026-06-21T17:45:23,88,clean,88,0,1,4,15,2,0,3352751.0,341.838,14.0,0.0,0.0,0.056818181818181816,1676375.5,0.0,0,1,
92,34.79.24.245,anonymous,2026-06-22T02:16:50,2026-06-22T02:16:54,16,clean,16,2,0,0,4,0,16,0,0.0,4.0,0.125,1.0,0.0,0,0.0,0,0,
93,34.38.17.88,anonymous,2026-06-22T15:00:33,2026-06-22T15:00:36,7,unknown,7,1,0,0,2,0,0,0,0.0,3.0,0.14285714285714285,0.0,0.0,0,0.0,0,0,
94,196.120.94.75,deploy_user,2026-06-22T16:19:37,2026-06-22T16:19:42,23,abrupt,23,0,0,0,9,0,0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,1,1,
95,196.120.94.75,deploy_user,2026-06-22T16:19:45,2026-06-22T16:19:56,16,abrupt,16,0,0,0,6,0,0,0,0.0,11.0,0.0,0.0,0.0,0,0.0,1,1,
96,196.120.94.75,deploy_user,2026-06-23T19:16:25,2026-06-23T19:16:53,48,abrupt,48,0,1,0,11,1,0,685.0,1.58,28.0,0.0,0.0,0.020833333333333332,685.0,0.0,1,1,
97,196.120.94.75,deploy_user,2026-06-24T06:27:15,2026-06-24T06:27:41,40,abrupt,40,0,0,0,12,0,0,0,0.0,26.0,0.0,0.0,0.0,0,0.0,1,1,
98,196.120.94.75,deploy_user,2026-06-24T06:27:46,2026-06-24T06:29:10,78,abrupt,78,0,0,0,11,0,0,0,0.0,84.0,0.0,0.0,0.0,0,0.0,1,1,
99,13.83.42.71,deploy_user,2026-06-24T16:13:39,2026-06-24T16:13:52,84,unknown,84,0,1,3,14,2,0,3190368.0,436.5875,13.0,0.0,0.0,0.047619047619047616,1595184.0,0.0,0,1,
100,64.236.137.129,deploy_user,2026-06-24T17:15:28,2026-06-24T17:15:36,88,clean,88,0,1,4,15,2,0,3352751.0,637.358,8.0,0.0,0.0,0.056818181818181816,1676375.5,0.0,0,1,
101,64.236.137.129,deploy_user,2026-06-24T19:15:28,2026-06-24T19:15:36,88,clean,88,0,1,4,15,2,0,3352751.0,637.358,8.0,0.0,0.0,0.056818181818181816,1676375.5,0.0,0,1,
102,202.120.94.75,fakeuser,2026-06-25T03:50:00,2026-06-25T03:50:57,23,unknown,23,3,0,0,4,0,23,0,0.0,57.0,0.13043478260869565,1.0,0.0,0,0.1111111111111111,0,0,
103,88.125.20.88,admin,2026-06-25T04:53:58,2026-06-25T04:54:40,19,unknown,19,3,0,0,3,0,19,0,0.0,42.0,0.15789473684210525,1.0,0.0,0,0.0,0,0,
104,147.125.28.20,anonymous,2026-06-25T05:24:49,2026-06-25T05:25:59,9,abrupt,9,0,0,0,3,0,9,0,0.0,70.0,0.0,1.0,0.0,0,0.0,1,0,
105,76.125.28.48,admin,2026-06-25T05:45:17,2026-06-25T05:45:39,12,abrupt,12,1,0,0,3,0,12,0,0.0,22.0,0.08333333333333333,1.0,0.0,0,0.0,1,0,
106,20.102.103.193,deploy_user,2026-06-25T05:57:42,2026-06-25T05:57:51,88,clean,88,0,1,4,15,2,88,3348545.0,655.902,9.0,0.0,1.0,0.056818181818181816,1674272.5,0.0,0,1,
107,196.120.94.75,deploy_user,2026-06-25T05:59:30,2026-06-25T06:00:10,68,abrupt,68,0,0,0,12,0,56,0,0.0,40.0,0.0,0.8235294117647058,0.0,0,0.0,1,1,
108,196.120.94.75,,2026-06-25T06:43:00,2026-06-25T06:43:00,4,unknown,4,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,

